,id,surface,pos,len
246,9322,['▁“'],"['名詞,サ変接続,*,*']",1
247,9346,['入'],"['名詞,固有名詞,地域,一般']",1
248,9400,['信'],"['名詞,一般,*,*']",1
249,9418,['的'],"['名詞,接尾,形容動詞語幹,*']",1
250,9513,['外'],"['名詞,一般,*,*']",1
251,9517,['月'],"['名詞,一般,*,*']",1
252,9538,['：'],"['記号,一般,*,*']",1
253,9540,['特'],"['名詞,一般,*,*']",1
254,9542,['李'],"['名詞,固有名詞,人名,姓']",1
255,9546,['街'],"['名詞,一般,*,*']",1
256,9554,['助'],"['名詞,一般,*,*']",1
257,9565,['ν'],"['記号,アルファベット,*,*']",1
258,9569,['仁'],"['名詞,固有名詞,人名,名']",1
259,9681,['学'],"['名詞,一般,*,*']",1
260,9695,['▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
261,9723,['内'],"['名詞,一般,*,*']",1
262,9771,['史'],"['名詞,固有名詞,人名,名']",1
263,9807,['ア'],"['名詞,固有名詞,組織,*']",1
264,9829,['λ'],"['記号,アルファベット,*,*']",1
265,9851,['━'],"['名詞,サ変接続,*,*']",1
266,9868,['打'],"['名詞,一般,*,*']",1
267,9935,['池'],"['名詞,固有名詞,人名,姓']",1
268,9940,['六'],"['名詞,数,*,*']",1
269,9982,['店'],"['名詞,一般,*,*']",1
270,10001,['康'],"['名詞,固有名詞,人名,姓']",1
271,10002,['σ'],"['記号,アルファベット,*,*']",1
272,10053,['天'],"['名詞,一般,*,*']",1
273,10060,['ξ'],"['記号,アルファベット,*,*']",1
274,10064,['舞'],"['名詞,一般,*,*']",1
275,10119,['部'],"['名詞,一般,*,*']",1
276,10120,['已'],"['名詞,固有名詞,組織,*']",1
277,10137,['次'],"['名詞,一般,*,*']",1
278,10160,['先'],"['名詞,一般,*,*']",1
279,10168,['車'],"['名詞,一般,*,*']",1
280,10239,['な'],"['助詞,終助詞,*,*']",1
281,10252,['む'],"['名詞,一般,*,*']",1
282,10279,['就'],"['名詞,固有名詞,組織,*']",1
283,10291,['▁▁▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
284,10351,['戦'],"['名詞,一般,*,*']",1
285,10438,['ヒ'],"['名詞,固有名詞,組織,*']",1
286,10447,['メ'],"['名詞,固有名詞,組織,*']",1
287,10533,['↓'],"['記号,一般,*,*']",1
288,10543,['加'],"['名詞,固有名詞,地域,国']",1
289,10551,['κ'],"['記号,アルファベット,*,*']",1
290,10585,['無'],"['名詞,一般,*,*']",1
291,10608,['α'],"['記号,アルファベット,*,*']",1
292,10624,['也'],"['名詞,固有名詞,組織,*']",1
293,10682,['式'],"['名詞,一般,*,*']",1
294,10711,['東'],"['名詞,一般,*,*']",1
295,10724,['出'],"['名詞,固有名詞,人名,名']",1
296,10737,['仮'],"['名詞,一般,*,*']",1
297,10762,['夫'],"['名詞,一般,*,*']",1
298,10771,['ん'],"['助詞,終助詞,*,*']",1
299,10834,['。'],"['記号,句点,*,*']",1
300,10855,['間'],"['名詞,一般,*,*']",1
301,10859,['ラ'],"['名詞,一般,*,*']",1
302,10916,['左'],"['名詞,一般,*,*']",1
303,10969,['▁▁▁▁▁▁▁▁▁'],"['名詞,サ変接続,*,*']",1
304,10979,['近'],"['形容詞,自立,*,*']",1
305,11037,['教'],"['名詞,一般,*,*']",1
306,11062,['系'],"['名詞,一般,*,*']",1
307,11109,['經'],"['名詞,固有名詞,組織,*']",1
308,11140,['立'],"['名詞,固有名詞,地域,一般']",1
309,11213,['他'],"['名詞,一般,*,*']",1
310,11217,['←'],"['記号,一般,*,*']",1
311,11287,['完'],"['名詞,一般,*,*']",1
312,11329,['效'],"['名詞,固有名詞,組織,*']",1
313,11369,['机'],"['名詞,一般,*,*']",1
314,11396,['光'],"['名詞,一般,*,*']",1
315,11415,['其'],"['名詞,固有名詞,組織,*']",1
316,11421,['情'],"['名詞,一般,*,*']",1
317,11430,['消'],"['接頭詞,名詞接続,*,*']",1
318,11458,['島'],"['名詞,一般,*,*']",1
319,11466,['士'],"['名詞,一般,*,*']",1
320,11515,['；'],"['記号,一般,*,*']",1
321,11523,['●'],"['記号,一般,*,*']",1
322,11534,['向'],"['名詞,固有名詞,人名,姓']",1
323,11557,['み'],"['動詞,自立,*,*']",1
324,11584,['日'],"['名詞,一般,*,*']",1
325,11728,['木'],"['名詞,一般,*,*']",1
326,11731,['想'],"['名詞,一般,*,*']",1
327,11878,['北'],"['名詞,一般,*,*']",1
328,11887,['索'],"['名詞,一般,*,*']",1
329,11977,['♂'],"['名詞,サ変接続,*,*']",1
330,12070,['か'],"['助詞,副助詞／並立助詞／終助詞,*,*']",1
331,12075,['Π'],"['記号,アルファベット,*,*']",1
332,12139,['片'],"['名詞,一般,*,*']",1
333,12178,['七'],"['名詞,数,*,*']",1
334,12180,['注'],"['名詞,一般,*,*']",1
335,12231,['♯'],"['名詞,サ変接続,*,*']",1
336,12239,['到'],"['動詞,自立,*,*']",1
337,12256,['林'],"['名詞,固有名詞,人名,姓']",1
338,12265,['城'],"['名詞,一般,*,*']",1
339,12303,['岩'],"['名詞,一般,*,*']",1
340,12319,['張'],"['名詞,固有名詞,人名,姓']",1
341,12346,['些'],"['名詞,固有名詞,組織,*']",1
342,12363,['从'],"['名詞,固有名詞,組織,*']",1
343,12456,['▁#####'],"['名詞,サ変接続,*,*']",1
344,12467,['Ε'],"['記号,アルファベット,*,*']",1
345,12485,['需'],"['名詞,固有名詞,組織,*']",1
346,12486,['開'],"['名詞,固有名詞,人名,名']",1
347,12541,['嘉'],"['名詞,固有名詞,人名,名']",1
348,12575,['写'],"['名詞,一般,*,*']",1
349,12585,['話'],"['名詞,サ変接続,*,*']",1
350,12615,['バ'],"['名詞,固有名詞,組織,*']",1
351,12678,['性'],"['名詞,一般,*,*']",1
352,12701,['谷'],"['名詞,一般,*,*']",1
353,12729,['Ψ'],"['記号,アルファベット,*,*']",1
354,12747,['代'],"['名詞,一般,*,*']",1
355,12753,['も'],"['助詞,係助詞,*,*']",1
356,12804,['人'],"['名詞,一般,*,*']",1
357,12843,['─'],"['記号,一般,*,*']",1
358,12899,['伊'],"['名詞,固有名詞,地域,国']",1
359,12943,['ベ'],"['名詞,固有名詞,組織,*']",1
360,12978,['計'],"['名詞,一般,*,*']",1
361,12981,['井'],"['名詞,一般,*,*']",1
362,13057,['▁→'],"['名詞,サ変接続,*,*']",1
363,13132,['▁…'],"['名詞,サ変接続,*,*']",1
364,13178,['変'],"['名詞,一般,*,*']",1
365,13214,['秀'],"['名詞,一般,*,*']",1
366,13235,['政'],"['名詞,一般,*,*']",1
367,13309,['了'],"['名詞,固有名詞,人名,名']",1
368,13314,['条'],"['名詞,一般,*,*']",1
369,13336,['や'],"['助詞,終助詞,*,*']",1
370,13390,['################'],"['名詞,サ変接続,*,*']",1
371,13451,['□'],"['記号,一般,*,*']",1
372,13468,['庄'],"['名詞,固有名詞,地域,一般']",1
373,13482,['函'],"['名詞,一般,*,*']",1
374,13491,['号'],"['名詞,接尾,一般,*']",1
375,13529,['深'],"['形容詞,自立,*,*']",1
376,13548,['線'],"['名詞,一般,*,*']",1
377,13549,['´'],"['記号,一般,*,*']",1
378,13559,['陳'],"['名詞,固有名詞,人名,姓']",1
379,13600,['が'],"['接続詞,*,*,*']",1
380,13615,['美'],"['名詞,固有名詞,人名,名']",1
381,13637,['介'],"['名詞,サ変接続,*,*']",1
382,13674,['南'],"['名詞,一般,*,*']",1
383,13784,['省'],"['名詞,一般,*,*']",1
384,13824,['雅'],"['名詞,一般,*,*']",1
385,13966,['空'],"['名詞,一般,*,*']",1
386,13982,['官'],"['名詞,一般,*,*']",1
387,14045,['┃'],"['名詞,サ変接続,*,*']",1
388,14049,['死'],"['名詞,一般,*,*']",1
389,14072,['現'],"['名詞,一般,*,*']",1
390,14129,['阿'],"['動詞,自立,*,*']",1
391,14134,['香'],"['名詞,一般,*,*']",1
392,14139,['添'],"['名詞,固有名詞,組織,*']",1
393,14252,['宗'],"['名詞,固有名詞,人名,姓']",1
394,14273,['ム'],"['名詞,固有名詞,組織,*']",1
395,14300,['場'],"['名詞,一般,*,*']",1
396,14304,['Δ'],"['記号,アルファベット,*,*']",1
397,14322,['▁'],"['名詞,サ変接続,*,*']",1
398,14331,['れ'],"['動詞,接尾,*,*']",1
399,14336,['連'],"['名詞,一般,*,*']",1
400,14388,['社'],"['名詞,一般,*,*']",1
401,14619,['有'],"['名詞,固有名詞,人名,名']",1
402,14641,['┌'],"['名詞,サ変接続,*,*']",1
403,14642,['非'],"['名詞,一般,*,*']",1
404,14662,['如'],"['名詞,固有名詞,組織,*']",1
405,14672,['那'],"['名詞,固有名詞,組織,*']",1
406,14689,['ジ'],"['名詞,固有名詞,組織,*']",1
407,14694,['野'],"['名詞,一般,*,*']",1
408,14710,['奈'],"['名詞,固有名詞,組織,*']",1
409,14761,['喜'],"['名詞,一般,*,*']",1
410,14809,['飛'],"['名詞,一般,*,*']",1
411,14822,['パ'],"['名詞,固有名詞,組織,*']",1
412,14867,['エ'],"['名詞,固有名詞,組織,*']",1
413,14896,['可'],"['名詞,一般,*,*']",1
414,14900,['提'],"['名詞,一般,*,*']",1
415,14975,['葉'],"['名詞,一般,*,*']",1
